EVTERM;Start
31.08.2020;849.9151875
02.09.2020;851.0818542
21.09.2020;856.5818542
16.10.2020;857.7485208
19.10.2020;863.2485208
11.11.2020;864.4151875
12.11.2020;869.9151875
30.01.2020;870.0485208
11.02.2020;870.8485208
11.02.2020;883.4235208
29.02.2020;897.6735208
03.02.2020;917.4901875
11.03.2020;947.3235208
07.02.2020;961.4751875
08.04.2020;977.5585208
21.02.2020;991.7101875
23.03.2020;1007.793521
25.02.2020;1028.801854
08.04.2020;1060.468521
13.03.2020;1065.218521
30.03.2020;1068.218521
05.02.2020;1068.651854
06.02.2020;1070.735188
06.02.2020;1072.993521
25.02.2020;1073.993521
25.02.2020;1077.493521
16.06.2020;1078.509854
22.06.2020;1082.058854
21.08.2020;1083.058854
28.08.2020;1086.558854
12.03.2020;1088.725521
18.03.2020;1093.808854
02.04.2020;1094.638854
12.03.2020;1120.638854
18.05.2020;1123.988854
08.07.2020;1127.481354
05.02.2020;1131.814688
13.02.2020;1131.948021
17.02.2020;1133.648021
02.03.2020;1133.694688
17.02.2020;1134.228021
12.02.2020;1134.411354
17.02.2020;1136.561354
18.02.2020;1141.728021
03.03.2020;1141.894688
09.03.2020;1143.894688
25.02.2020;1151.144688
12.02.2020;1151.471354
17.02.2020;1154.538021
18.03.2020;1159.704688
13.02.2020;1159.938021
17.02.2020;1162.271354
19.03.2020;1163.521354
20.04.2020;1169.104688
19.05.2020;1169.174688
25.05.2020;1170.299688
20.03.2020;1177.549688
16.04.2020;1179.091771
29.05.2020;1186.052188
24.03.2020;1189.668854
19.02.2020;1190.777188
21.08.2020;1192.110521
19.02.2020;1193.218854
19.02.2020;1194.327188
24.03.2020;1197.827188
24.03.2020;1201.660521
27.02.2020;1206.827188
25.03.2020;1209.160521
02.10.2020;1212.410521
09.03.2020;1213.910521
30.03.2020;1223.577188
17.04.2020;1227.193854
23.03.2020;1228.893854
20.04.2020;1229.727188
23.03.2020;1230.677188
20.04.2020;1231.277188
20.04.2020;1232.110521
25.11.2020;1245.663854
09.10.2020;1247.205521
16.04.2020;1250.180521
20.03.2020;1250.713854
26.03.2020;1252.213854
21.04.2020;1253.713854
08.04.2021;1256.213854
15.06.2020;1289.213854
25.03.2020;1293.963854
03.04.2020;1299.047187
26.03.2020;1308.380521
06.04.2020;1312.547187
07.04.2020;1319.133854
30.03.2020;1325.133854
25.03.2020;1328.050521
01.04.2020;1331.300521
17.03.2020;1332.240521
17.03.2020;1333.115521
10.03.2020;1334.365521
10.03.2020;1335.032187
24.06.2020;1335.598854
12.03.2020;1348.082187
22.04.2020;1363.248854
01.04.2020;1375.732187
12.05.2020;1390.898854
26.03.2020;1410.715521
25.05.2020;1440.548854
27.03.2020;1460.365521
26.05.2020;1490.198854
27.04.2020;1490.893854
22.04.2020;1491.427187
16.03.2020;1492.343854
